uid,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,Unnamed: 0,kmeans_0,kmeans_1,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,label
kn58,4,1,0,1,0,1,1,0,1,0,0,0,1,2,4,3,3,2,0,0,57,0,0,0,0,0,0,0,0,0,1,0
kn59,2,3,1,0,1,2,3,0,0,2,3,2,1,0,1,0,0,0,0,0,58,0,0,0,0,0,1,0,0,0,0,0
kn60,3,0,1,1,1,2,0,0,1,0,0,1,4,1,2,2,0,0,0,0,59,0,0,0,0,0,0,0,0,0,1,0
kn61,6,4,2,1,3,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0
kn62,2,3,1,0,2,1,3,3,2,1,2,1,0,1,0,0,0,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0
kn63,3,3,1,2,0,1,1,1,0,5,0,2,2,0,1,2,0,0,1,0,62,0,0,0,0,0,1,0,0,0,0,0
kn64,11,3,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,63,1,0,0,0,0,0,0,0,0,0,0
kn65,3,0,1,0,1,4,1,1,1,1,4,0,0,1,0,1,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0
kn66,2,3,1,1,2,1,2,1,2,1,3,1,1,0,0,1,1,0,1,0,65,0,0,0,0,0,0,0,0,0,1,0
kn67,2,1,1,0,1,1,0,0,0,0,0,1,2,1,3,3,1,4,1,0,66,0,0,0,0,0,0,0,0,0,1,0
kn68,9,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,1,0,0,0,0,0
kn69,2,3,1,0,2,0,2,0,0,2,1,0,0,0,0,4,3,3,2,0,68,0,0,0,0,0,1,0,0,0,0,0
kn70,3,1,4,0,1,2,1,1,1,1,0,2,2,0,0,2,0,2,2,0,69,0,0,0,0,0,0,0,0,0,1,1
kn71,3,1,1,1,3,2,1,2,1,1,2,0,0,0,1,0,0,0,1,0,70,0,0,0,0,0,1,0,0,0,0,0
kn72,3,3,1,1,1,2,1,2,2,1,2,2,4,1,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,1,0
kn73,2,3,0,0,1,1,1,1,2,0,2,1,1,0,2,0,1,0,2,0,72,0,0,0,0,0,0,0,0,0,1,0
kn74,7,3,2,3,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,73,0,0,0,0,0,1,0,0,0,0,0
kn75,6,3,4,3,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,74,0,0,0,0,0,1,0,0,0,0,0
kn76,3,6,2,2,1,1,0,2,2,0,0,1,0,0,0,1,1,1,0,0,75,0,0,0,0,0,1,0,0,0,0,0
kn77,3,1,1,0,0,0,0,2,0,0,1,3,0,1,1,2,2,6,1,0,76,0,0,0,0,0,0,0,0,0,1,0
kn78,2,3,1,0,0,1,0,0,1,0,1,2,0,2,2,0,1,2,3,0,77,0,0,0,0,0,1,0,0,0,0,0
kn79,2,1,0,2,0,0,1,0,0,0,1,0,0,1,3,0,2,3,3,0,78,0,0,0,0,0,1,0,0,0,0,0
kn80,10,3,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,0,0,0
kn81,6,3,0,1,1,1,0,0,1,0,1,1,0,0,1,0,2,1,0,0,80,1,0,0,0,0,0,0,0,0,0,0
kn82,3,0,1,3,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,81,0,0,0,0,0,1,0,0,0,0,0
kn83,3,1,2,1,1,0,3,2,4,0,1,1,0,1,0,0,0,1,0,0,82,0,0,0,0,0,1,0,0,0,0,0
kn84,2,1,0,0,1,2,4,1,0,1,1,3,0,0,0,0,0,1,2,0,83,0,0,0,0,0,0,0,0,0,1,1
kn85,3,0,2,1,0,1,1,0,1,0,2,1,2,1,0,2,1,0,5,0,84,0,0,0,0,0,1,0,0,0,0,0
kn86,7,6,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,1,0,0,0,0,0
kn87,5,4,0,2,1,0,1,1,0,0,0,0,1,2,3,5,1,1,0,0,86,0,0,0,0,0,1,0,0,0,0,0
kn88,3,3,2,0,1,4,3,1,1,1,0,0,2,0,0,0,0,1,0,0,87,0,0,0,0,0,1,0,0,0,0,0
kn89,7,10,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,88,0,0,0,0,0,1,0,0,0,0,0
kn90,2,1,2,0,0,1,1,2,3,0,2,0,3,1,1,0,0,0,0,0,89,0,0,0,0,0,1,0,0,0,0,0
kn91,5,1,5,3,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,90,0,0,0,0,0,1,0,0,0,0,1
kn92,4,1,0,1,0,0,1,0,0,0,0,0,2,1,1,0,8,4,0,0,91,0,0,0,0,0,1,0,0,0,0,0
kn93,3,1,1,1,0,0,0,1,0,0,1,0,1,0,1,2,0,1,0,0,92,0,0,0,0,0,0,0,0,0,1,0
kn94,3,0,4,1,1,0,1,1,0,0,2,0,0,0,0,1,4,4,4,0,93,0,0,0,0,0,1,0,0,0,0,1
kn95,3,0,1,0,0,0,2,0,0,0,1,0,2,1,1,2,3,2,4,0,94,0,0,0,0,0,1,0,0,0,0,1
kn96,3,0,2,0,3,1,0,3,0,1,2,3,0,1,0,1,2,0,1,0,95,0,0,0,0,0,1,0,0,0,0,0
kn97,3,0,1,5,3,1,1,1,0,0,1,1,2,1,2,0,0,0,0,0,96,0,0,0,0,0,1,0,0,0,0,0
kn98,4,1,0,2,0,0,1,1,0,1,2,1,1,0,1,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,1,0
kn99,3,4,2,1,2,0,2,1,1,0,2,2,0,1,2,0,0,0,0,0,98,0,0,0,0,0,1,0,0,0,0,0
kn100,2,3,0,1,1,0,1,1,1,1,2,0,1,6,0,1,1,1,0,0,99,0,0,0,0,0,1,0,0,0,0,0
kn101,5,0,0,1,2,3,3,2,1,2,2,1,0,0,1,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0
kn102,6,1,1,0,1,1,1,2,0,0,3,2,0,1,1,2,3,1,0,0,101,0,0,0,0,0,1,0,0,0,0,1
kn103,3,3,4,1,3,0,1,1,1,0,1,0,3,0,0,0,1,1,0,0,102,0,0,0,0,0,1,0,0,0,0,0
kn104,4,4,4,5,1,1,2,0,0,0,0,2,0,0,0,0,1,1,0,0,103,0,0,0,0,0,1,0,0,0,0,0
kn105,2,3,5,2,3,5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,104,0,0,0,0,0,1,0,0,0,0,0
kn106,3,0,2,0,0,0,1,0,0,1,1,3,0,1,3,4,0,0,0,0,105,0,0,0,0,0,1,0,0,0,0,0
kn107,7,3,5,1,1,0,2,0,0,0,2,2,0,0,0,0,1,0,0,0,106,0,0,0,0,0,1,0,0,0,0,0
kn108,3,0,1,0,1,0,5,1,2,3,1,0,0,1,1,0,1,0,2,0,107,0,0,0,0,0,1,0,0,0,0,0
kn109,7,4,2,1,3,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,108,0,0,0,0,0,1,0,0,0,0,0
kn110,3,0,1,1,0,1,1,0,2,1,1,0,3,0,3,3,2,0,0,0,109,0,0,0,0,0,1,0,0,0,0,0
kn111,2,3,2,3,1,3,2,1,0,0,2,0,2,1,0,2,0,1,0,0,110,0,0,0,0,0,1,0,0,0,0,1
kn112,4,1,0,5,3,1,4,0,1,0,1,1,1,0,1,0,0,0,1,0,111,0,0,0,0,0,1,0,0,0,0,0
kn113,2,8,0,0,2,0,1,3,0,0,1,1,2,1,2,0,0,1,0,0,112,0,0,0,0,0,1,0,0,0,0,0
kn114,4,0,2,2,2,3,2,0,2,2,0,1,0,0,1,0,0,0,0,0,113,0,0,0,0,0,1,0,0,0,0,0
kn115,2,1,0,0,0,0,2,0,0,3,4,1,2,1,0,1,0,1,0,0,114,0,0,0,0,0,1,0,0,0,0,0
kn116,5,0,4,1,2,2,2,1,0,1,0,0,1,0,0,0,1,1,0,0,115,0,0,0,0,0,1,0,0,0,0,0
kn117,5,1,0,1,4,1,2,0,0,1,1,0,0,0,1,0,0,2,2,0,116,0,0,0,0,0,1,0,0,0,0,0
kn118,5,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,117,0,0,0,0,0,1,0,0,0,0,0
kn119,2,3,1,1,1,0,1,0,3,2,4,0,3,0,0,0,0,0,0,0,118,0,0,0,0,0,1,0,0,0,0,0
kn120,3,5,1,2,2,0,1,1,0,0,0,2,0,0,1,0,2,1,0,0,119,0,0,0,0,0,0,0,0,0,1,0
kn121,3,9,4,2,0,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,120,0,0,0,0,0,1,0,0,0,0,0
kn122,2,3,1,0,3,1,2,1,0,0,2,0,3,2,1,0,0,1,0,0,121,0,0,0,0,0,1,0,0,0,0,0
kn123,2,1,1,2,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,122,0,0,0,0,0,1,0,0,0,0,0
kn124,4,1,4,6,0,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,123,0,0,0,0,0,0,1,0,0,0,0
kn125,7,5,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,124,0,0,0,0,0,1,0,0,0,0,0
kn126,3,1,5,1,1,0,3,0,0,2,3,0,0,0,0,1,0,0,4,0,125,0,0,0,0,0,1,0,0,0,0,0
kn127,3,1,2,1,2,1,1,2,2,1,2,2,1,0,0,0,1,0,0,0,126,0,0,0,0,0,1,0,0,0,0,0
kn128,4,0,2,1,0,2,0,2,0,4,2,1,0,0,0,1,2,0,1,0,127,0,0,0,0,0,1,0,0,0,0,0
kn129,4,3,0,2,1,1,6,2,4,1,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,1,0,0,0,0,0
kn130,3,0,1,0,0,0,1,0,1,3,4,2,0,1,2,1,1,0,0,0,129,0,0,0,0,0,0,0,0,0,1,1
kn131,3,1,1,0,1,3,3,4,1,1,2,0,0,1,0,0,0,0,0,0,130,0,0,0,0,0,1,0,0,0,0,0
kn132,9,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,131,0,0,0,0,0,1,0,0,0,0,0
kn133,9,0,2,5,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,132,0,0,0,0,0,1,0,0,0,0,0
kn134,8,3,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,133,0,0,0,0,0,1,0,0,0,0,0
kn135,7,0,0,2,1,1,5,3,0,3,0,0,0,1,0,0,0,0,1,0,134,0,0,0,0,0,1,0,0,0,0,0
kn136,3,0,4,0,2,0,2,0,0,2,1,0,1,2,1,0,0,1,3,0,135,0,0,0,0,0,1,0,0,0,0,0
kn137,2,1,1,3,2,1,2,0,0,2,1,1,2,1,0,0,2,0,0,0,136,0,0,0,0,0,1,0,0,0,0,0
kn138,3,0,1,1,0,0,1,1,0,0,0,2,6,4,2,1,0,0,0,0,137,1,0,0,0,0,0,0,0,0,0,0
kn139,6,8,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,138,0,0,0,0,0,1,0,0,0,0,1
kn140,2,1,0,2,0,1,1,0,0,1,0,1,1,2,2,2,1,3,0,0,139,0,0,0,0,0,1,0,0,0,0,0
kn141,5,4,4,3,4,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,140,0,0,0,0,0,1,0,0,0,0,0
kn142,2,3,5,5,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,141,0,0,0,0,0,1,0,0,0,0,0
kn143,5,0,0,1,3,2,2,0,1,0,3,0,0,0,2,4,0,1,0,0,142,0,0,0,0,0,1,0,0,0,0,0
kn144,3,1,2,1,2,3,2,3,1,0,0,0,0,1,1,0,1,0,0,0,143,0,0,0,0,0,1,0,0,0,0,0
kn145,4,1,4,3,3,0,0,1,2,0,0,0,0,1,1,0,2,1,1,0,144,0,0,0,0,0,1,0,0,0,0,0
kn146,4,3,2,2,1,2,5,1,0,0,0,0,2,0,0,0,0,1,1,0,145,0,0,0,0,0,1,0,0,0,0,0
kn147,7,5,4,3,1,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,146,0,0,0,0,0,1,0,0,0,0,0
kn148,2,1,0,0,0,1,3,2,0,0,0,4,2,1,1,1,1,0,0,0,147,0,0,0,0,0,1,0,0,0,0,0
kn149,9,4,1,1,0,0,2,1,2,0,0,0,0,1,1,0,0,1,0,0,148,0,0,0,0,0,1,0,0,0,0,0
kn150,6,1,4,1,2,1,2,0,2,0,1,0,0,0,0,0,1,0,0,0,149,0,0,0,0,0,1,0,0,0,0,0
kn151,2,3,4,1,3,1,1,1,1,0,3,2,0,0,1,0,0,0,1,0,150,0,0,0,0,0,1,0,0,0,0,0
kn152,4,1,2,5,0,2,2,0,2,1,1,0,0,0,0,0,0,0,1,0,151,0,0,0,0,0,0,1,0,0,0,0
kn153,7,1,5,2,2,0,3,0,1,0,3,0,0,0,0,0,0,0,1,0,152,0,0,0,0,0,1,0,0,0,0,0
kn154,2,1,1,1,0,0,0,0,0,2,4,0,0,2,6,0,1,1,0,0,153,0,0,0,0,0,0,0,0,0,1,0
kn155,3,3,4,3,1,1,1,0,1,1,1,0,1,1,2,0,1,0,0,0,154,0,0,0,0,0,1,0,0,0,0,0
kn156,3,1,2,0,4,1,2,2,1,1,2,2,0,0,0,1,1,1,0,0,155,0,0,0,0,0,1,0,0,0,0,1
kn157,4,1,1,5,2,2,0,2,1,0,2,0,0,0,0,0,3,2,0,0,156,0,0,0,0,0,1,0,0,0,0,0
kn158,2,1,0,1,0,1,3,2,2,0,4,1,0,0,0,0,0,0,0,0,157,0,0,0,0,0,1,0,0,0,0,0
kn159,3,0,2,1,0,0,2,0,0,0,2,4,1,0,1,2,1,0,1,0,158,0,0,0,0,0,1,0,0,0,0,0
kn160,5,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,159,0,0,0,0,0,1,0,0,0,0,0
kn161,3,3,1,1,0,2,2,0,0,0,2,4,2,0,2,2,0,0,1,0,160,0,0,0,0,0,1,0,0,0,0,0
kn162,2,1,1,3,1,0,3,0,1,0,2,0,1,2,1,1,1,0,0,0,161,0,0,0,0,0,1,0,0,0,0,0
kn163,4,1,4,5,2,1,0,3,0,1,1,0,0,0,1,0,0,0,0,0,162,0,0,0,0,0,1,0,0,0,0,0
kn164,3,1,1,0,1,0,1,3,0,3,3,3,2,0,0,0,1,1,0,0,163,0,0,0,0,0,1,0,0,0,0,0
kn165,4,0,0,1,1,1,2,0,0,1,2,1,2,2,5,1,1,1,0,0,164,0,0,0,0,0,1,0,0,0,0,1
kn166,2,3,5,0,1,2,0,0,0,0,0,0,0,0,0,1,3,4,8,0,165,0,0,0,0,0,0,1,0,0,0,1
kn167,2,1,4,2,2,0,3,1,1,0,0,0,3,1,0,0,1,1,0,0,166,0,0,0,0,0,1,0,0,0,0,0
kn168,2,1,0,0,0,0,2,1,1,1,0,2,2,0,1,1,0,0,1,0,167,0,0,0,0,0,1,0,0,0,0,0
kn169,3,0,1,1,0,0,1,1,0,2,2,1,1,4,0,1,1,0,0,0,168,0,0,0,0,0,1,0,0,0,0,0
kn170,2,3,2,1,0,0,1,0,1,1,1,0,1,0,3,0,0,2,5,0,169,0,0,0,0,0,1,0,0,0,0,0
kn171,8,1,4,2,3,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,170,0,0,0,0,0,0,0,0,0,1,0
kn172,2,1,4,2,0,1,0,1,0,2,2,4,0,2,0,1,0,1,0,0,171,0,0,0,0,0,1,0,0,0,0,0
kn173,6,6,1,1,2,2,0,1,0,0,1,0,0,0,1,2,0,0,1,0,172,0,0,0,0,0,1,0,0,0,0,0
kn174,5,3,4,5,3,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,173,0,0,0,0,0,1,0,0,0,0,0
kn175,3,1,1,0,0,0,1,0,0,0,0,1,2,0,3,3,4,1,2,0,174,0,0,0,0,0,1,0,0,0,0,0
kn176,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,4,10,0,175,0,0,0,0,0,1,0,0,0,0,0
kn177,2,3,2,3,1,0,0,2,0,0,1,3,0,1,1,1,0,2,0,0,176,0,0,0,0,0,1,0,0,0,0,0
kn178,2,1,0,1,1,0,1,4,6,3,0,0,0,0,2,1,0,0,0,0,177,1,0,0,0,0,0,0,0,0,0,0
kn179,3,0,1,0,0,0,4,2,1,1,2,1,2,1,0,0,0,2,0,0,178,0,0,0,0,0,0,0,0,0,1,0
kn180,3,0,4,5,1,0,3,0,2,0,2,1,0,0,0,0,0,1,1,0,179,0,0,0,0,0,1,0,0,0,0,0
kn181,3,0,1,0,1,2,1,2,1,0,3,1,2,2,0,1,0,0,0,0,180,0,0,0,0,0,1,0,0,0,0,0
kn182,6,3,4,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,181,0,0,0,0,0,1,0,0,0,0,0
kn183,2,3,1,1,1,1,2,5,0,1,2,0,1,1,0,0,0,0,1,0,182,0,0,0,0,0,1,0,0,0,0,0
kn184,4,0,0,1,4,1,3,0,0,1,2,0,2,2,0,0,2,0,1,0,183,0,0,0,0,0,1,0,0,0,0,0
kn185,6,3,2,3,1,1,2,4,0,0,0,0,2,1,0,0,0,2,0,0,184,0,0,0,0,0,1,0,0,0,0,0
kn186,5,0,0,1,1,0,1,3,1,2,1,1,1,1,0,0,1,1,1,0,185,0,0,0,0,0,1,0,0,0,0,0
kn187,4,0,0,1,1,1,1,0,1,3,0,1,1,1,3,0,2,2,0,0,186,0,0,0,0,0,1,0,0,0,0,0
kn188,4,3,1,2,2,1,2,2,0,0,1,3,1,1,0,0,1,0,0,0,187,0,0,0,0,0,1,0,0,0,0,0
kn189,12,0,0,0,0,1,2,0,0,1,1,1,0,0,2,1,0,1,0,0,188,0,0,0,0,0,0,0,0,0,1,0
kn190,3,0,1,2,6,1,1,2,1,0,2,1,0,0,1,0,0,0,1,0,189,0,0,0,0,0,0,0,0,0,1,0
kn191,3,0,2,0,0,0,1,1,0,0,0,1,0,1,1,0,2,6,3,0,190,0,0,0,0,0,1,0,0,0,0,0
kn192,3,0,4,1,0,1,1,2,0,1,2,2,1,1,2,0,1,0,1,0,191,0,0,0,0,0,1,0,0,0,0,0
kn193,4,0,2,3,0,2,2,3,2,1,1,1,1,0,1,0,0,0,0,0,192,0,0,0,0,0,1,0,0,0,0,0
kn194,2,3,2,1,0,0,1,0,2,1,0,0,0,0,1,2,6,2,0,0,193,0,0,0,0,0,1,0,0,0,0,0
kn195,3,1,6,2,0,3,0,3,0,0,2,0,1,0,0,0,1,0,0,0,194,0,0,0,0,0,1,0,0,0,0,0
kn196,3,0,1,1,0,0,1,1,0,0,1,0,2,3,3,2,1,0,2,0,195,0,0,0,0,0,1,0,0,0,0,0
kn197,2,1,4,0,1,2,1,0,0,3,1,2,3,1,1,1,1,0,1,0,196,0,0,0,0,0,1,0,0,0,0,0
kn198,3,8,2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,197,1,0,0,0,0,0,0,0,0,0,1
kn199,3,1,1,1,2,0,0,3,2,0,2,1,0,1,0,4,1,1,0,0,198,0,0,0,0,0,1,0,0,0,0,0
kn200,3,3,4,3,2,0,1,0,2,2,1,1,0,0,1,1,0,1,0,0,199,0,0,0,0,0,1,0,0,0,0,0
kn201,4,1,0,2,0,0,2,1,0,0,0,0,3,0,1,3,3,0,0,0,200,0,0,0,0,0,1,0,0,0,0,0
